feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
rh_superiortemporal_MK,0.6058252427184466,7.873709452489757e-15,1.3917814969563872e-16,1.5700219313633657,0.9722784759763099,1.1285957821579076,0.1013888364767475,0.09770462308820019,14.103820615137424
lh_caudalanteriorcingulate_MK,0.6029126213592233,1.0622125623191752e-14,5.4870843191685454e-18,1.724216513490913,0.9694445046620265,1.1497028678286885,0.10638278165891565,0.10267450342789072,13.973788566677344
lh_entorhinal_MK,0.5887656033287101,5.529241992236007e-14,6.995519664160169e-16,1.5231299804300764,0.8922824008999789,1.1562887649083138,0.1687438221910438,0.17780079291262615,13.257334402357715
lh_entorhinal_MD,0.5864077669902913,7.487136567450413e-14,6.1163165376115254e-15,1.4453942013411103,0.8969363835065114,1.147794471756125,0.17102686926635224,0.17605050898855126,13.125684245147745
rh_entorhinal_MD,0.579611650485437,1.6092377663387335e-13,1.915672344871078e-14,1.4586093514471,0.8174092433610463,1.1296873686100746,0.21391136549487832,0.2142745810556652,12.793379783756723
lh_supramarginal_MK,0.577253814147018,1.9881415500239377e-13,3.2229529613672347e-15,1.50488784492415,0.9027746284455515,1.0397350011611803,0.09313241348918631,0.08883761565517846,12.701552698305981
rh_fusiform_MD,0.5715672676837725,3.983713324605857e-13,5.710494792625058e-16,1.588148295652508,0.9768816465720617,1.1477766774335478,0.1011203839697302,0.11372322729982416,12.399711921759721
rh_precuneus_MD,0.5680998613037448,5.246365638179761e-13,5.544651414144728e-15,1.437050760606316,0.9066422198842525,1.04478382423979,0.09576239177340008,0.09649331666251415,12.280141445139064
lh_postcentral_MD,0.5664355062413314,7.02766460797103e-13,1.3998465374232122e-14,1.4315657829852886,0.9895236410950078,1.1215836103622856,0.09640987266342095,0.08789057164565742,12.15318897318459
lh_caudalanteriorcingulate_MD,0.5635228848821082,8.528134817894373e-13,1.3815878598192116e-15,1.535148406860846,0.9712660466519673,1.138966062412885,0.10989176526902902,0.10858485189614432,12.069145942674353
rh_supramarginal_MD,0.5613037447988904,1.2185279826911634e-12,3.0213370737094935e-14,1.4487134725790762,0.9084717031963343,1.0834451498995168,0.12323551917481347,0.11827045752959221,11.914164493078502
rh_precuneus_MK,0.560748959778086,1.2711509433156113e-12,1.6056570877982057e-15,1.4947932774977515,0.9076571874742747,1.0491877831565324,0.09712499930343241,0.0921750690315733,11.895802875915868
lh_lingual_MD,0.5578363384188627,1.6427927798525154e-12,2.5554566693420456e-14,1.3718955332087979,1.0443388587987248,1.1554925200356472,0.08252512893562365,0.0794903654912897,11.784417214557795
rh_entorhinal_MK,0.5527045769764216,2.882721794031335e-12,5.0989061889654765e-14,1.4203104523566032,0.8371327221935019,1.1260651006852427,0.2051276846572675,0.20171607268398808,11.540197268519545
lh_postcentral_MK,0.5486823855755895,4.145539510745891e-12,4.026438064779527e-15,1.489809526488059,0.9937032775927798,1.1253854198454691,0.09160267169255569,0.08505310812111432,11.382418941279548
lh_supramarginal_MD,0.5486823855755895,4.145539510745891e-12,7.439218632325823e-14,1.3793363124797065,0.8970002703335704,1.0334745923650697,0.09950479663390888,0.09837602544091748,11.382418941279548
rh_precentral_MK,0.5457697642163661,5.821878190134254e-12,6.1163165376115254e-15,1.4932282710832152,1.0175496655681036,1.1550068365112154,0.09012450321671235,0.0939432661472829,11.234936885449244
rh_inferiortemporal_PF,0.5411927877947296,9.405249388283128e-12,1.565745687741257e-12,1.0996140511067465,0.34805000004122794,0.39197615515014234,0.042377058277925254,0.03735896195351531,11.026629684268917
rh_precentral_MD,0.5400832177531206,9.911328847763922e-12,4.636538464118596e-13,1.3155953551344397,1.0214293036653934,1.152872946122848,0.09812591479470484,0.10166653175215236,11.003868114176507
lh_precentral_MK,0.5343966712898752,1.7658849541245143e-11,3.862012647582002e-13,1.3570962299890883,1.0426056372087382,1.1646748607966333,0.08515444175089182,0.09450029918357954,10.753037593746221
